Date,Close,High,Low,Open,Volume,MACD,MACD_signal,MACD_diff,bb_high,bb_low,bb_mid,adx,Close_lag_1,Close_lag_2,Close_lag_3,Return_1d,Target
2015-02-19,1043.6019287109375,1046.0347486641847,1025.6768922890064,1026.066143481526,2618002,8.291237556338274,2.2294116781525464,6.0618258781857275,1029.1200080920744,941.095171351285,985.1075897216797,12.878891180051369,1025.93017578125,1006.13671875,988.2118530273438,0.017225102981526463,0
2015-02-20,1041.4613037109375,1050.5113961664626,1028.4992168004844,1050.5113961664626,1801588,11.316887880515992,4.046906918625236,7.269980961890756,1038.507529321926,938.1992333733865,988.3533813476563,14.408910942486939,1043.6019287109375,1025.93017578125,1006.13671875,-0.0020511891949491767,1
2015-02-23,1049.67431640625,1059.541873334952,1039.6900601313948,1039.6900601313948,1614892,14.213613359420833,6.080248206784356,8.133365152636477,1048.4551242491584,935.5742031434197,992.0146636962891,16.103186029464588,1041.4613037109375,1043.6019287109375,1025.93017578125,0.00788604690932626,1
2015-02-24,1052.8275146484375,1062.6561105426506,1042.8042930929528,1048.6430629310992,2199922,16.57268630541057,8.1787358265096,8.39395047890097,1057.5513352441271,934.5024123144668,996.0268737792969,17.770082731624285,1049.67431640625,1041.4613037109375,1043.6019287109375,0.0030039777032775383,0
2015-02-25,1040.1573486328125,1059.5420831951085,1038.4641624257813,1054.87106739851,1767994,17.221374813923376,9.987263623992355,7.234111189931021,1062.8459529191005,935.8309147566808,999.3384338378906,19.010939092124293,1052.8275146484375,1049.67431640625,1041.4613037109375,-0.012034417641389128,0
2015-02-26,1034.0264892578125,1048.1563289835995,1021.9208321069946,1042.8041241656533,1991994,17.044280164593943,11.398666932112672,5.645613232481271,1066.6499979029288,936.5752645482431,1001.6126312255859,19.079047085231203,1040.1573486328125,1052.8275146484375,1049.67431640625,-0.005894165323216183,1
2015-02-27,1036.32275390625,1041.5386808841388,1018.3977208833236,1035.1938686427886,2877376,16.894471791181445,12.497827903926428,4.396643887255017,1070.4252792716395,937.381416285001,1003.9033477783203,18.927120520039825,1034.0264892578125,1040.1573486328125,1052.8275146484375,0.0022207019571478526,1
2015-03-02,1039.067138671875,1054.462042985047,1032.5083128233582,1043.0764451285897,2176038,16.803496245837664,13.358961572308676,3.444534673528988,1073.3834097517827,941.715912757983,1007.5496612548828,19.32136943024462,1036.32275390625,1034.0264892578125,1040.1573486328125,0.002648195029280709,1
2015-03-03,1080.5616455078125,1086.0111638929384,1041.694863869645,1043.9720220648246,3424308,19.850829383881546,14.657335134623251,5.193494249258295,1084.2648609807768,941.0250804254731,1012.644970703125,20.722312510716325,1039.067138671875,1036.32275390625,1034.0264892578125,0.03993438469142174,0
2015-03-04,1068.8839111328125,1094.6134562562916,1057.0700979186554,1085.232463306002,3862994,21.080563665723616,15.941980840843325,5.138582824880292,1091.4776910186429,941.1204352020601,1016.2990631103515,22.25569850744675,1080.5616455078125,1039.067138671875,1036.32275390625,-0.010807096868140298,0
2015-03-05,1049.5965576171875,1078.4984641291949,1043.6021261312198,1070.4409819261962,2173514,20.265204048647092,16.80662548240408,3.4585785662430126,1094.2785726444515,945.4097391231267,1019.8441558837891,22.84200792315561,1068.8839111328125,1080.5616455078125,1039.067138671875,-0.018044385657544515,0
2015-03-09,1030.269775390625,1043.1150610036973,1015.9453166702533,1027.6228490457734,2883174,17.853709424047906,17.016042270732846,0.8376671533150599,1095.2353241149883,948.1274444396993,1021.6813842773438,21.949083897225087,1049.5965576171875,1068.8839111328125,1080.5616455078125,-0.018413534311162882,0
2015-03-10,1028.6739501953125,1042.5118469801698,1010.2040029404594,1031.0872882135627,3037052,15.633598412852166,16.739553499156713,-1.1059550863045473,1096.0628124905256,949.9059497165056,1022.9843811035156,20.857227456416506,1030.269775390625,1049.5965576171875,1068.8839111328125,-0.0015489391549969866,0
2015-03-11,1014.6029052734375,1035.3888848419654,1011.1969566997149,1028.4018436314238,2240200,12.593558015294434,15.910354402384257,-3.3167963870898234,1095.0863908741758,954.5277082469179,1024.8070495605468,19.843360761379966,1028.6739501953125,1030.269775390625,1049.5965576171875,-0.013678819143036924,1
2015-03-12,1019.4689331054688,1021.7459968542374,1008.2001236957926,1021.3567454409009,1827636,10.456416812751172,14.819566884457641,-4.363150071706469,1089.7861833752154,966.7527387439254,1028.2694610595704,18.751216867068525,1014.6029052734375,1028.6739501953125,1030.269775390625,0.0047959924091878214,0
2015-03-13,1005.18310546875,1027.6039227250662,1002.3220704780593,1026.84490171694,1586838,7.523246807683904,13.360302869102895,-5.837056061418991,1084.1976542536695,977.1076497014088,1030.652651977539,17.43757713134897,1019.4689331054688,1014.6029052734375,1028.6739501953125,-0.014013009296126144,0
2015-03-16,997.3788452148438,1015.9461173180338,993.3695369331886,1006.2926639401675,1556296,4.5168820620042425,11.591618707683166,-7.074736645678923,1077.646913494161,987.5568035468549,1032.601858520508,16.608747878337525,1005.18310546875,1019.4689331054688,1014.6029052734375,-0.007764018527019356,1
2015-03-17,1005.708740234375,1014.6615216960532,995.607686243809,1005.2416575993105,1267318,2.7744866980069673,9.828192305747926,-7.053705607740959,1075.6258311239658,991.3275746377531,1033.4767028808594,15.839120714826896,997.3788452148438,1005.18310546875,1019.4689331054688,0.008351786344272139,0
2015-03-18,996.2304077148438,1011.8393286880862,993.2525780860694,1008.5306924552664,1255170,0.6216377451917197,7.986881393636685,-7.365243648444966,1076.6108500341848,989.3519246240185,1032.9813873291016,15.248782060112658,1005.708740234375,997.3788452148438,1005.18310546875,-0.009424530324080083,1
2015-03-19,1010.5938110351562,1014.3306619843096,999.636423614901,1002.7114712475927,2448964,0.07364708981788226,6.404234532872925,-6.330587443055043,1076.8405119132424,987.5886262703514,1032.2145690917969,14.54215946310642,996.2304077148438,1005.708740234375,997.3788452148438,0.014417752368409698,1
2015-03-20,1016.3156127929688,1019.0598533295445,1003.8207036961267,1010.4963251503046,1963908,0.09991042495084912,5.143369711288511,-5.0434592863376615,1075.6682219334712,986.0322846583258,1030.8502532958985,13.581604141604531,1010.5938110351562,996.2304077148438,1005.708740234375,0.005661821490823948,1
2015-03-23,1018.72900390625,1024.120172435313,1014.388889915023,1018.281402923139,1566608,0.3118697600895075,4.177069721048711,-3.8651999609592034,1074.5505516408332,984.876724970495,1029.713638305664,12.854915020061862,1016.3156127929688,1010.5938110351562,996.2304077148438,0.0023746472876167157,0
2015-03-24,1008.6663208007812,1026.4550757657482,1005.0852299486129,1023.7303182646637,2394878,-0.32834046449852394,3.275987683939264,-3.604328148437788,1072.411919189438,982.914557861343,1027.6632385253906,12.291826642140437,1018.72900390625,1016.3156127929688,1010.5938110351562,-0.009877683924659153,0
2015-03-25,1001.8353881835938,1017.5027507379948,990.7222461727594,1008.7056346200982,2224858,-1.3711056017775718,2.346569026795897,-3.717674628573469,1069.6468766792252,980.5803877250715,1025.1136322021484,12.57485897458316,1008.6663208007812,1018.72900390625,1016.3156127929688,-0.0067722421937954635,0
2015-03-26,978.2273559570312,1006.8761909837618,973.5173778116583,993.8752372257239,3091642,-4.0557235296647605,1.0661105155037656,-5.1218340451685265,1070.3830143751072,973.6512507616113,1022.0171325683593,13.632171753701499,1001.8353881835938,1008.6663208007812,1018.72900390625,-0.0235647817046728,1
2015-03-27,978.8890380859375,1001.1152268872319,974.7240688212503,985.194889172216,2751776,-6.060053832915173,-0.35912235418002214,-5.700931478735151,1070.7580144738686,967.7625055456625,1019.2602600097656,14.613962191454243,978.2273559570312,1001.8353881835938,1008.6663208007812,0.0006764093488869083,1
