Date,Close,High,Low,Open,Volume,MACD,MACD_signal,MACD_diff,bb_high,bb_low,bb_mid,adx,Close_lag_1,Close_lag_2,Close_lag_3,Return_1d,Target
2015-02-19,379.3783264160156,380.5915904254095,374.1641266019662,376.0164242584116,4136952,19.256542324660415,18.32372141760023,0.9328209070601865,400.1899879791132,288.80119549256653,344.49559173583987,47.333068149221404,376.5999450683594,367.6533508300781,369.15374755859375,0.007377540501637414,0
2015-02-20,370.5985412597656,380.6472584225008,369.7372181236048,379.72110937524405,2668572,18.56848425818373,18.37267398571693,0.19581027246680094,402.06640982075953,292.863302093303,347.46485595703126,47.76278545692637,379.3783264160156,376.5999450683594,367.6533508300781,-0.023142558614754227,0
2015-02-23,365.0879211425781,375.5904413365028,362.7632782014833,370.45958512691845,2666340,17.37820713967926,18.173780616509397,-0.7955734768301355,402.1872907135447,298.52737603450214,350.3573333740234,46.98895727049696,370.5985412597656,379.3783264160156,376.5999450683594,-0.014869513782907462,1
2015-02-24,366.0233154296875,370.2372929202696,362.2446233994376,365.08789599724537,3643048,16.32222994278925,17.80347048176537,-1.4812405389761203,401.02955622867324,305.9149811248424,353.47226867675784,46.18723876661786,365.0879211425781,370.5985412597656,379.3783264160156,0.0025621069143617614,1
2015-02-25,367.34765625,369.2740503038074,365.23605504459414,368.51461279913906,2276348,15.41453448425034,17.325683282262364,-1.9111487980120252,397.4282017195327,316.43752398847516,356.93286285400393,45.442785870158694,366.0233154296875,365.0879211425781,370.5985412597656,0.0036181870511657888,0
2015-02-26,365.91217041015625,371.94140896747336,363.9672576640614,367.3106643339142,4156644,14.41320117213968,16.743186860237827,-2.329985688098148,393.134845193958,326.71446816053424,359.9246566772461,44.972969476186215,367.34765625,366.0233154296875,365.0879211425781,-0.003907703820673958,1
2015-02-27,374.5346984863281,375.21079185595653,365.91224126458445,368.4221143864029,4808820,14.152264763632047,16.225002440916672,-2.072737677284625,385.2126081691102,341.67530381819455,363.44395599365237,44.79826320143835,365.91217041015625,367.34765625,366.0233154296875,0.023564474683929637,1
2015-03-02,375.0625915527344,378.03553916890655,370.52446102265253,378.03553916890655,4098336,13.828659163817917,15.745733785496922,-1.9170746216790047,381.9142467105819,349.4310963069962,365.67267150878905,44.852745877143505,374.5346984863281,365.91217041015625,367.34765625,0.0014094637120130038,1
2015-03-03,376.23883056640625,378.77649286417306,367.6904917982073,376.2017936439539,4306688,13.511361487973716,15.298859325992282,-1.7874978380185667,381.93154736440647,352.1582017811013,367.0448745727539,44.34232594308794,375.0625915527344,374.5346984863281,365.91217041015625,0.0031361139184857834,1
2015-03-04,377.1278076171875,380.0359059301276,374.1641313294296,377.3130373851723,3430308,13.17970636151449,14.875028733096723,-1.6953223715822325,381.79695821425173,354.95547098496706,368.3762145996094,43.980373243939994,376.23883056640625,375.0625915527344,374.5346984863281,0.0023627998456272614,1
