Date,Close,High,Low,Open,Volume,MACD,MACD_signal,MACD_diff,bb_high,bb_low,bb_mid,adx,Close_lag_1,Close_lag_2,Close_lag_3,Return_1d,Target
2015-02-19,109.76024627685547,111.3413260073982,109.01131377291416,111.3413260073982,7382040,4.060509755807985,3.8959445000547834,0.16456525575320136,112.93152924466577,96.2495178134397,104.59052352905273,59.598769839370604,111.34130859375,110.09310150146484,109.95995330810547,-0.014200141320983906,0
2015-02-20,108.17915344238281,110.00987711914722,107.76307987948181,109.76023298140662,4849774,3.828561736886755,3.882467947421178,-0.05390621053442324,112.87806044136448,97.40641374076444,105.14223709106446,58.48758265880906,109.76024627685547,111.34130859375,110.09310150146484,-0.01440496799255131,0
2015-02-23,108.1375503540039,109.51059316576769,107.10568923169065,108.17915771193614,5689865,3.599886982967959,3.8259517545305344,-0.2260647715625752,112.89035380904102,98.31281086381054,105.60158233642578,56.929837942152105,108.17915344238281,109.76024627685547,111.34130859375,-0.0003845758360557783,1
2015-02-24,108.67845916748047,109.81018079468866,108.11260173989224,108.59524444153915,8433603,3.422850918916126,3.7453315874076525,-0.3224806684915267,112.98216467004943,99.07312021154237,106.0276424407959,55.594050534199276,108.1375503540039,108.17915344238281,109.76024627685547,0.005002044264049044,1
2015-02-25,110.47589111328125,110.77546546076877,108.52866801265922,108.769989347124,9829069,3.3885254864161283,3.673970367209348,-0.2854448807932197,113.1221506889284,100.01908695145246,106.57061882019043,54.6990315793693,108.67845916748047,108.1375503540039,108.17915344238281,0.016538989967007423,0
2015-02-26,109.49395751953125,111.32468143584435,108.41216611443714,110.47589531968174,10478408,3.2446857812646783,3.588113450020414,-0.3434276687557358,113.14492423216478,100.83928063233716,106.99210243225097,54.054063886101616,110.47589111328125,108.67845916748047,108.1375503540039,-0.008888216097239998,0
2015-02-27,108.89480590820312,109.61045382091956,107.96279837926578,109.3441640206429,12264620,3.047218809301995,3.4799345218767304,-0.4327157125747352,112.79789652607593,102.04508595683421,107.42149124145507,53.051844768451076,109.49395751953125,110.47589111328125,108.67845916748047,-0.005472006171858834,1
2015-03-02,110.59239959716797,112.24004848781273,108.8448903250161,109.86011270622183,9859640,2.9932026576326933,3.3825881490279235,-0.38938549139523015,112.55180802923437,103.25563597100978,107.90372200012207,52.96226172106399,108.89480590820312,109.49395751953125,110.47589111328125,0.015589299001055101,1
2015-03-03,111.9155044555664,112.67275977411039,110.34274757676359,110.67560646209884,9609805,3.02231856559726,3.310534232341791,-0.2882156667445308,112.90309611949894,103.69239185657528,108.29774398803711,52.99483417438013,110.59239959716797,108.89480590820312,109.49395751953125,0.01196379555211613,0
2015-03-04,109.76024627685547,112.13186587266956,109.22767340623683,111.88222170468913,8693384,2.8387583702239425,3.216179059918221,-0.37742068969427844,112.67886576301568,104.54822240226751,108.6135440826416,52.08987903733044,111.9155044555664,110.59239959716797,108.89480590820312,-0.019257905231233052,1
